Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateCI95,EmergencyTimelyRateMean,EmergencyTimelyRateCI95,LossRateMean,LossRateCI95,AvgDelayMean,AvgDelayCI95,AvgTxCostMean,AvgTxCostCI95
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,DCC-like,0.799833610648919,0.000612782862334514,0.01,0.0110827192812354,0.200133111480865,0.000611293371144077,0.0942602410184838,0.000232156940350741,3.86865224625625,3.73034936274053e-16
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,AoI-aware,0.793277870216306,0.00153548809994863,0.0166666666666667,0.0168259059521653,0.206655574043261,0.0015196877871827,0.0835226987164982,0.000586327288500533,2.36911813643927,1.24344978758018e-16
10006,Reference,Mixed,Medium,Mixed,Default,Link-delay-aware,0.930981697171381,0.00258934370402048,0.990723684210526,0.00141122576923224,0.0689184692179701,0.00257058259622444,0.0410215527849062,0.000994859635749173,2.2032445923461,2.48689957516035e-16
10006,Reference,Mixed,Medium,Mixed,Default,Confidence-heuristic,0.988219633943428,0.00118170911986595,0.995065789473684,0.000961607178452302,0.0110815307820299,0.00115107878889007,0.0222814767976038,0.000378232451853019,2.72548286189684,0.00387046627471492
10006,Reference,Mixed,Medium,Mixed,Default,Risk-constrained-v6,0.989983361064892,0.000835958116320778,0.995065789473684,0.000961607178452302,0.00931780366056572,0.000843763007879693,0.0239986346904632,0.000260380236413632,2.84895673876871,0.00211358725986466
10006,Reference,Mixed,Medium,Mixed,Default,Constrained Oracle,0.995241264559068,0.000581971249450362,0.996184210526316,0.000963546082256363,0.0038269550748752,0.000561006070226595,0.0223906553328443,0.000196653131062575,2.73219633943428,0.00123129936578741
10006,Reference,Mixed,Medium,Mixed,Default,DCC-like,0.918435940099833,0.00244490716545621,0.995526315789473,0.000970563990591971,0.0813311148086523,0.00246814531060247,0.0707547393457775,0.000945852975673054,4.46737271214643,4.56572379367337e-05
10006,Reference,Mixed,Medium,Mixed,Default,AoI-aware,0.972013311148087,0.00149866089545158,0.989736842105263,0.00132375483750053,0.0269217970049916,0.0014664517953186,0.0279487096524269,0.00047861603455457,2.37133111480865,0.000727460332174822
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.706888519134775,0.00117625969375216,0.799868421052631,0.0010639653004985,0.292079866888519,0.00121206683405943,0.0883573770181505,0.000311437146359587,2.26455906821964,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.707853577371048,0.00122942054854093,0.799934210526316,0.000915324292017214,0.29018302828619,0.00129447065459099,0.08823243790091,0.000318782983896458,2.61475574043261,0.0102376582492478
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Risk-constrained-v6,0.713078202995008,0.00140126880138171,0.799868421052631,0.0010639653004985,0.285890183028286,0.00140290975881337,0.086104227800985,0.00037954107526574,2.89883727121463,0.00487179630299732
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Constrained Oracle,0.713843594009983,0.00131934967045315,0.79953947368421,0.000852359443250696,0.28522462562396,0.00134088989848622,0.0863855673205338,0.000343753851783335,2.74480565723794,0.00822598994420836
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,DCC-like,0.708885191347754,0.000678090317687147,0.798355263157895,0.000719365101728275,0.290682196339434,0.000764116713930064,0.108633212909936,0.000180253107541877,4.15923460898502,2.48689957516035e-16
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,AoI-aware,0.711913477537438,0.00138522243673046,0.798618421052631,0.00106284844376064,0.285091514143095,0.00144233460896813,0.0870142246263379,0.000375746916366374,2.65254575707155,0
10011,Boundary,Open,Low,Sparse,Default,Link-delay-aware,0.992778702163061,0.000852006026586859,1,0,0.00722129783693843,0.000852006026586866,0.0134185497165734,0.000171342968630893,1.71880199667221,6.21724893790088e-17
10011,Boundary,Open,Low,Sparse,Default,Confidence-heuristic,0.9938768718802,0.000856224533016924,1,0,0.00612312811980033,0.00085622453301693,0.0132505948350601,0.000170290313603027,1.95932945091514,0.0102886549328195
